Item (100 gr)	Kcal	Carbs	Fats	Prots	Indice Glicemico (IG)	Vitamina A (µg)	Vitamina D (µg)	Vitamina E (mg)	Vitamina K (µg)	Vitamina C (mg)	Tiamina (B1) (mg)	Riboflavina (B2) (mg)	Niacina (B3) (mg)	Vitamina B6 (mg)	Folato (B9) (µg)	Vitamina B12 (µg)	Biotina (B7) (µg)	Acido pantotenico (B5) (mg)	Calcio (mg)	Ferro (mg)	Magnesio (mg)	Zinco (mg)	Rame (mg)	Manganese (mg)	Selenio (µg)	Iodio (µg)	Potassio (mg)	Sodio (mg)	Omega3 (mg)	Omega6 (mg)	Peculiarità Nutrizionale	
Carne tritata 5%	137	0	5	21,4	0	10	0	0,2	0	0	0,07	0,1	6	0,5	6	1,5	3	0,8	15	2,5	22	3	0,06	0,02	20	12	350	60	40	150	Proteine ad alto valore biologico e contenuto di grassi relativamente basso.	
Bovino adulto	131	0,5	5,9	19,1	0	10	0	0,2	0	0	0,05	0,2	5,5	0,4	8	1,5	3	0,7	20	3	23	3	0,05	0,02	22	14	318	55	30	140	Fonte eccellente di ferro e proteine ad alta qualità.	
Roast Beef	139	0	6,3	19,3	0	15	0	0,3	0	0	0,05	0,2	6	0,5	6	1,2	3	0,8	12	2	20	3	0,05	0,02	18	12	350	60	40	150	Carne rossa magra, fonte di proteine di alta qualità e ferro.	
Parmigiano	392	3,2	25,8	35,7	0	300	0,6	0,3	2	0	0,03	0,35	0,1	0,1	20	1,5	3	0,8	1100	0,7	35	4	0,04	0,02	14	3	108	1600	0	0	Alta fonte di calcio e proteine, ma anche di grassi saturi.	
Piselli surgelati	77	13,7	0,4	5,2	22	38	0	0,2	25	40	0,3	0,15	2,1	0,22	65	0	2,5	0,9	37	1,5	33	1,2	0,2	0,41	1,8	0,2	138	6	30	140	Ricchi di proteine vegetali e fibre, utili per la sazietà	
Patate Dolci	86	20	0	1,6	50	709	0	0,3	1,8	2,4	0,11	0,06	0,6	0,21	14	0	2,4	0,8	30	0,6	25	0,3	0,14	0,26	0,9	0,2	337	55	0	10	A basso IG rispetto alle patate normali, ricche di vitamina A	
Mango	65	17	0	0,4	51	54	0	0,9	4,2	36,4	0,05	0,04	1,1	0,1	43	0	2	0,3	11	0,2	10	0,1	0,05	0,1	1,2	1,5	168	1	0	0	Ricco di vitamina C e A, con antiossidanti.	
Pollo con pelle ( senza ossa )	215	0	16,5	17,5	0	30	0,3	0,4	8	0	0,07	0,2	6,5	0,5	5	0,3	2	1	14	1	22	2,3	0,07	0,02	20	7	210	85	90	450	Maggiore contenuto lipidico rispetto senza pelle, fonte di vitamina A, B3 e selenio	
Pecorino Romano	401	0	33	26	0	260	0,5	0,3	2	0	0,05	0,4	0,1	0,05	10	1,5	2	0,4	1100	0,8	35	3,5	0,05	0,02	15	20	100	1800	200	500	Ricchissimo di calcio e sodio, proteine ad alta densità	
Galbanino	319	1,5	25	22	0	250	0,5	0,5	2	0	0,04	0,3	0,1	0,08	25	1,4	2	0,35	600	0,2	30	3,5	0,03	0,02	14	20	250	900	100	600	Formaggio a pasta filata, ricco in calcio e proteine, privo di lattosio naturale	
Latte (intero)	52	4,8	2	3,4	30	46	0,1	0,1	0,5	1	0,04	0,18	0,1	0,04	5	0,4	2	0,4	120	0,1	11	0,4	0,01	0,01	1	2	150	50	30	150	Fonte di calcio e vitamina D (se fortificato), essenziali per la salute delle ossa	
Piselli fini in scatola	72	9	1	5	35	30	0	0,2	20	25	0,2	0,12	1,9	0,2	50	0	1,8	0,7	30	1,3	30	1,1	0,15	0,35	1,5	0,2	115	350	20	120	Pronti all’uso, leggermente meno nutrienti dei freschi	
Pane comune	266	50,6	3,3	7,6	70	0	0	0,4	1,3	0	0,18	0,1	3,2	0,13	35	0	1,5	0,6	20	1,2	25	0,8	0,15	0,52	27	0,5	115	450	0	300	Elevato contenuto di carboidrati e calorie, fornisce energia rapida	
Sgarro	300	35	14,5	8	65	85	0,5	0,7	5	1	0,12	0,15	2,5	0,18	20	0,3	1,5	0,6	120	1	25	0,8	0,1	0,2	10	25	220	350	80	1200	Pasto ad alto carico glicemico, molto calorico e lipidico, utile per ricarica glicogeno e stimolo leptinico	
Philadelphia	255	2,7	25	5,3	15	330	0,5	0,8	2,5	0	0,03	0,29	0,2	0,04	15	0,7	1,5	1	80	0,3	10	0,5	0,02	0,01	6	0,5	180	350	20	80	Alta concentrazione di grassi, ma anche una buona fonte di calcio e proteine	
Panetto Pizza al 70% idr.	205	44,1	0,6	5,9	60	0	0	0,3	1	0	0,12	0,1	2,8	0,15	35	0	1,2	0,6	22	1,3	25	0,8	0,15	0,5	25	0,4	280	600	0	400	Elevato contenuto di carboidrati e calorie, fonte di energia rapida	
Zucca	26	6,5	0,1	1	65	426	0	0,4	1,1	9	0,04	0,03	0,6	0,13	27	0	1,2	0,3	21	0,8	12	0,3	0,08	0,15	0,6	0,2	340	8	0	0	Ricca di beta-carotene e fibre	
Banana	89	22,8	0,3	1	51	64	0	0,1	0,5	8,7	0,03	0,07	0,7	0,37	20	0	1	0,4	5	0,3	27	0,2	0,08	0,27	1	0,2	358	1	30	40	Buona fonte di potassio	0
Barretta riso frumento cioccolato	405	70	10	6,5	65	5	0	1,2	1,5	1	0,1	0,15	1	0,2	25	0,2	1	0,5	30	1,5	30	0,8	0,15	0,25	3	0,5	150	50	500	1000	Una barretta pesa 21,5 g	
Broccoli	34	6,6	0,4	2,8	15	31	0	0,8	101	89	0,07	0,12	0,6	0,2	63	0	1	0,5	47	0,7	21	0,4	0,04	0,19	2,5	0,3	316	33	70	90	Ricco di vitamine C, K, folati e fibre	
Zucchine	16	3,3	0,1	1,2	15	200	0	0,1	4	17	0,05	0,09	0,5	0,22	24	0	1	0,4	16	0,4	18	0,3	0,1	0,17	0,4	0,2	261	3	0	0	Contiene antiossidanti come la luteina e la zeaxantina	
Burro	717	0	81,1	0,8	0	684	1,5	2,3	7	0	0,01	0,03	0,1	0	3	0,2	1	0,5	24	0,1	2	0,1	0,01	0,01	1	0,2	24	643	256	400	Molto calorico e ricco di grassi saturi	
Kiwi	61	14,7	0,5	1,1	50	4	0	1,5	40	92,7	0,027	0,025	0,341	0,063	25	0	0,9	0,183	34	0,3	17	0,14	0,13	0,098	0,2	3	312	3	29	25	Altissimo contenuto di vitamina C, ricco di antiossidanti e fibre, supporta il sistema immunitario	
Peperoni	26	6	0,3	1	15	157	0	0,6	7	128	0,05	0,08	1	0,22	46	0	0,9	0,4	12	0,5	10	0,2	0,05	0,11	0,4	0,2	211	4	0	0	Altamente nutritivi, ricchi di vitamina C e antiossidanti	
Carote	41	9,6	0,2	0,9	50	835	0	0,7	13	7	0,06	0,05	1,1	0,14	19	0	0,8	0,4	33	0,3	12	0,2	0,09	0,1	0,8	0,2	320	69	0	0	Alto contenuto di beta-carotene, ottimo per la vista	
Lattuga	14	2,9	0,1	0,9	15	370	0	0,2	126	9	0,05	0,08	0,4	0,09	38	0	0,7	0,2	35	0,3	13	0,2	0,05	0,25	0,5	0,2	194	28	0	0	Fonte di vitamina A, K e acido folico	
Fragole	35	7,7	0	0,4	40	1	0	0,29	2,2	58,8	0,05	0,02	0,4	0,05	24	0	0,6	0,2	16	0,4	13	0,1	0,05	0,4	0,4	1,1	160	1	0	0	Ricche di antiossidanti e vitamina C, benefici per la pelle.	
Triangolini di Mais	426	76	10	6,7	70	5	0	0,8	1	0	0,12	0,15	1,9	0,3	25	0	0,6	0,5	10	1,1	30	0,9	0,2	0,3	2,5	0	370	350	0	1000	Ricco di carboidrati, ma anche di grassi	
Gallette di Mais	400	85,6	1,4	7,8	82	0	0	0,5	0,3	0	0,11	0,12	1,6	0,2	20	0	0,6	0,7	2	0,8	35	0,7	0,15	0,26	3,2	0	25	2	0	2000	Altamente caloriche, forniscono energia rapida e sono ricche di carboidrati	
Finocchio	31	7,3	0,2	1,2	15	963	0	0,6	62	12	0,01	0,03	0,6	0,05	27	0	0,6	0,3	49	0,7	17	0,2	0,05	0,19	1	0,2	280	20	0	0	Aiuta la digestione e può alleviare i disturbi gastrointestinali	
Pomodorini	18	3,9	0,2	0,9	15	42	0	0,5	7	21	0,05	0,02	0,8	0,09	15	0	0,6	0,3	10	0,5	11	0,2	0,04	0,07	0,6	0,2	237	18	0	0	Ricchi di licopene, utile per il cuore	
Melone	34	8	0	1	65	169	0	0,1	2	36	0,04	0,01	0,7	0,07	21	0	0,6	0,2	9	0,2	10	0,1	0,03	0,05	0,4	0,1	267	16	0	0	Idratante, ricco di vitamina A e C	
Pasta e Fagioli (bontà dell'orto)	72	10	1,3	3,5	45	15	0	0,4	8	6	0,1	0,1	0,8	0,1	25	0	0,5	0,4	20	1,2	20	0,8	0,1	0,3	1,2	0,1	400	100	30	150	Buona combinazione di legumi e cereali	
Patate fritte	274	35,7	14,1	3,5	75	1	0	2	8	8	0,15	0,05	1,4	0,27	20	0	0,5	0,8	19	0,8	23	0,3	0,1	0,3	0,5	0,3	560	220	0	30	Caloriche e ricche di grassi; attenzione alla cottura	
Verza	27	6,1	0,1	2	10	18	0	0,1	82	36	0,04	0,05	0,4	0,15	79	0	0,5	0,3	47	0,8	16	0,2	0,04	0,15	0,9	0,2	329	24	50	100	Leggera, ricca di fibre e vitamina K	
Pesca	39	9,5	0,2	0,9	42	16	0	0,7	3	10	0,02	0,03	1	0,03	6	0	0,5	0,2	6	0,3	9	0,2	0,04	0,1	0,7	0,2	190	0	0	0	Ricca di vitamine A, C, fibre e antiossidanti	
Arancia	47	11,7	0,1	0,9	43	225	0	0,2	0,1	50	0,09	0,04	0,4	0,06	30	0	0,5	0,3	40	0,1	10	0,1	0,03	0,07	0,9	0,2	181	0	0	0	Ricca di vitamina C, sostiene il sistema immunitario	
Prugna	46	11,4	0,3	0,7	24	17	0	0,3	6	9	0,03	0,04	0,6	0,05	5	0	0,5	0,2	6	0,2	7	0,1	0,03	0,06	0,7	0,2	157	1	0	0	Ottima fonte di fibre, utile per la digestione	
Pera	58	14,46	0,12	0,38	38	1	0	0,12	4,5	4,3	0,02	0,02	0,3	0,05	7	0	0,5	0,2	9	0,2	7	0,1	0,04	0,03	0,1	0,7	121	1	0	0	Fonte di fibre e antiossidanti, aiuta la digestione.	
Mais in scatola	73	11	1,5	2,7	52	10	0	0,5	0,6	5	0,2	0,1	1,7	0,2	34	0	0,4	0,7	2	0,5	27	0,5	0,1	0,2	1,5	0,2	240	230	10	400	Contiene carboidrati complessi e alcune vitamine del gruppo B	
Patate	87	20,1	0,1	1,9	80	1	0	0	2	20	0,08	0,03	1,2	0,3	16	0	0,4	0,5	12	0,3	23	0,3	0,11	0,15	0,6	0,2	425	10	0	10	Ottima fonte di potassio e vitamina C, ma ha un IG alto se cotta	
Cipolla rossa	30	6	0,1	1	12	2	0	0,02	0,4	8,1	0,05	0,02	0,12	0,12	19	0	0,4	0,1	23	0,2	10	0,2	0,04	0,13	1	0,4	146	4	0	0	Ricca di antiossidanti (quercetina), solforati	
Cetriolo	12	2,1	0,2	0,6	15	105	0	0,05	16	3	0,03	0,04	0,3	0,04	7	0	0,4	0,3	16	0,3	13	0,2	0,05	0,05	0,1	1	147	2	0	0	Alto contenuto di acqua (95%) e basso contenuto calorico.	
Mela	52	13,8	0,2	0,3	36	3	0	0,18	2,2	4,6	0,02	0,03	0,4	0,04	3	0	0,4	0,1	6	0,1	5	0,1	0,03	0,02	0,1	0,7	107	1	0	0	Contiene fibre solubili come la pectina, aiuta colesterolo.	
Miele	304	82,4	0	0,3	62	0	0	0	0,2	0,5	0,01	0,01	0,1	0,02	2	0	0,4	0,05	6	0,4	2	0,02	0,01	0,02	0,8	0	52	4	0	0	Energia Rapida: Zuccheri semplici per energia immediata. Antiossidanti: Contiene flavonoidi	
Limone	22	6,9	0,2	0,4	20	1	0	0,2	0	38	0,04	0,02	0,1	0,05	20	0	0,4	0,2	6	0,3	8	0,1	0,02	0	0,3	1	103	1	0	0	Ricchissimo di vitamina C, effetto alcalinizzante	
Mirtilli	57	14,5	0	0,4	53	3	0	0,57	19,3	9,7	0,04	0,04	0,4	0,06	6	0	0,3	0,3	6	0,4	6	0,2	0,05	0,3	0,1	1,2	77	1	0	0	Fonte di antociani con proprietà antinfiammatorie.	
Salsa Sriracha	100	25	0,25	1	60	45	0	0,5	3	2	0,11	0,02	0,6	0,1	15	0	0,3	0,1	20	0,6	14	0,2	0,05	0,18	1,5	0,5	430	1000	0	0	Ricca di capsaicina, stimola il metabolismo	
Salsa di pomodoro	25	3,4	0	1,2	30	38	0	0,6	6	9	0,05	0,06	1,1	0,11	18	0	0,3	0,4	15	0,6	14	0,2	0,06	0,1	0,9	0,2	237	18	0	0	Contiene licopene, un antiossidante potente associato a benefici cardiovascolari	
Melanzane	24	5,7	0,2	1	15	23	0	0,3	3	2,2	0,04	0,02	0,6	0,08	22	0	0,3	0,3	9	0,2	14	0,1	0,06	0,08	0,2	0,1	230	2	0	0	Contiene nasunin, un potente antiossidante	
Salsa Teriyaki	84	16	0	6	60	0	0	0,2	0,2	0,8	0,02	0,01	1,3	0,04	5	0	0,2	0,1	15	0,5	8	0,3	0,06	0,12	0,8	0,2	200	800	0	0	Fonte di sodio e aminoacidi (da soia)	
Salsa Barbecue	165	38	0,5	1	55	15	0	0,3	1,5	1	0,02	0,03	0,5	0,07	5	0	0,2	0,15	25	0,5	10	0,3	0,05	0,1	0,5	2	150	1200	5	50		
Anguria	30	7,6	0,1	0,6	72	28	0	0,05	0,1	8	0,04	0,02	0,2	0,05	3	0	0,2	0,1	7	0,2	10	0,1	0,02	0,03	0,4	2	112	1	0	0	Ricca di citrullina, migliora circolazione e riduce dolore muscolare.	
Fiocchi avena	363	63,3	7	12,4	55	0	0	0,9	4	0	0,5	0,1	1,1	0,2	56	0	0	1,3	54	4,7	130	2,2	0,3	4,9	5	0	350	2	260	3700	Ricchi di fibre solubili, ottimi per la salute del cuore e per la regolazione del colesterolo.	
Farina Avena	376	58	8	12	55	0	0	1,1	4	0	0,4	0,1	1	0,2	56	0	0	1,1	60	4	130	2	0,3	4,5	5	0	350	2	260	3700	Ricca di fibre e carboidrati complessi, supporta la digestione.	
Noci	654	65,2	13,7	15,2	15	20	0	0,7	2	0	0,07	0,15	1,1	0,3	98	0	0	0,4	98	2,9	158	3,1	1,1	3,4	7	0	441	2	9000	3700	Ricche di grassi omega-3 e antiossidanti, utili per la salute cerebrale e cardiaca.	
Cioccolato Fondente 80%	635	32	53	17	22	15	0	10	7	0	0,05	0,1	1	0,1	25	0	0	0,4	50	8	90	3	1	1,9	10	0	715	24	80	1400	Ricco di antiossidanti e grassi sani, effetto positivo su cuore e cervello.	
Pasta Integrale	348	75	1,4	14,6	40	0	0	0,5	4	0	0,4	0,15	5,5	0,4	30	0	0	1,2	15	2,5	120	2	0,3	1,8	15	0	110	5	0	50	Fonte di carboidrati complessi e fibre, più salutare rispetto alla pasta bianca.	
Pane Integrale	266	51,1	4,7	8,7	65	0	0	0,5	5	0	0,35	0,15	3,5	0,25	30	0	0	1,5	35	3,2	90	1,8	0,2	1,1	12	0	210	380	0	300	Contiene più fibre e nutrienti rispetto al pane comune, migliora la digestione.	
Pane di segale	259	48,3	3,3	8,5	50	0	0	0,4	5	0	0,3	0,1	3,2	0,2	25	0	0	1,1	40	2,8	80	1,5	0,2	1	10	0	250	400	0	400	Buona fonte di fibre e nutrienti rispetto al pane bianco, migliore per il controllo glicemico.	
Lenticchie cotte	165	18,7	6,8	8,4	29	8	0	0,5	5	3	0,27	0,15	2,1	0,2	180	0	0	1,3	35	3,3	36	1,3	0,25	0,9	15	0	369	5	60	500	Ottima fonte di proteine vegetali e fibre, ricca di ferro e folati.	
Pop Corn	390	78	5	13	55	0	0	0,2	2	0	0,12	0,05	1,5	0,1	8	0	0	0,4	8	2	120	1,5	0,15	0,9	8	0	260	8	0	6000	Snack ricco di fibre e carboidrati, ma spesso salato e con grassi aggiunti.	
Fagioli cotti	109	14	0,6	8,3	28	0	0	0,3	2	0	0,15	0,08	1,1	0,1	40	0	0	0,7	40	2,5	30	1	0,1	0,5	10	0	400	5	40	200	Fonte eccellente di proteine vegetali e fibre, aiuta a regolare lo zucchero nel sangue.	
Pasta comune	359	71	2	13	55	0	0	0,4	0	0	0,35	0,1	5	0,3	15	0	0	0,9	10	2	100	1,8	0,1	0,5	10	0	44	5	0	10	Fonte di carboidrati rapidi, utile per energia immediata.	
Anacardi	581	30,2	47,8	16,8	22	0	0	0,9	34	0	0,42	0,06	1,1	0,42	25	0	0	0,9	37	6,7	270	5,6	0,6	0,4	19	0	565	12	85	7700	Ricchi di grassi monoinsaturi e minerali, utili per salute cuore e ossa.	
Fagioli Rossi in scatola	105	12	1	9	25	0	0	0,2	3	0	0,25	0,15	0,5	0,1	30	0	0	0,9	50	2,1	45	1,5	0,15	0,2	10	0	380	250	30	180	Fonte vegetale di proteine e fibre, buona per controllo glicemia e colesterolo.	
Ricotta di Pecora	174	3	13	11,3	30	70	0,3	0,2	2	0	0,05	0,2	0,2	0,1	8	1	0	0,9	320	0,5	15	1,5	0,04	0,03	12	20	170	350	10	60	Contiene una buona quantità di calcio e proteine, ma anche grassi saturi.	
Creatina monoidrato	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Molecola energetica; aumenta riserve di fosfocreatina muscolare migliorando forza e performance anaerobica	
Maltodestrine	380	95	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0,1	1	0	0	0	0	0	20	60	0	0	Carboidrato ad alto IG, ideale per ricarica energetica rapida pre e post allenamento	
Riso basmati	358	78	1,1	8,6	50	0	0	0,1	0	0	0,1	0,05	1	0,1	4	0	0	0,5	5	0,8	25	0,5	0,05	0,02	7	0	35	5	0	2	Carboidrati a lenta digestione, energia sostenuta e stabile.	
Philadelphia Protein	87	4,9	2,5	11	15	30	0	0,2	1	0	0,05	0,15	0,5	0,1	8	0,7	0	0,5	150	0,3	15	1	0,03	0,02	10	10	150	300	20	80	Alto contenuto proteico e basso contenuto di grassi rispetto ad altri formaggi.	
Ricotta Vaccina	115	6,3	6	9	27	45	0,2	0,2	1	0	0,04	0,1	0,1	0,05	10	0,8	0	0,4	150	0,3	10	1	0,02	0,02	9	15	160	400	10	50	Fonte di calcio e proteine, ma con un contenuto di grassi relativamente alto.	
Wurstel	240	0	20	15	0	5	0	0,1	0	0	0,02	0,05	2	0,1	3	1	0	0,3	15	1,2	10	1	0,1	0,01	12	10	350	1200	0	0	Ricco di grassi e proteine, spesso alto contenuto di sale e conservanti.	
Mozzarella	255	2	21	16	0	180	0,4	0,3	2	0	0,04	0,2	0,1	0,1	5	1,1	0	0,9	500	0,3	20	2	0,04	0,01	10	15	180	280	40	150	Ricca di calcio e proteine, ma anche alta in grassi saturi.	
Exquisa HigPro	62	3,5	0,2	10,4	0	0	0	0,1	0	0	0,03	0,15	0,5	0,05	7	0,5	0	0,3	100	0,2	10	0,8	0,02	0,01	8	0	120	80	20	150	Yogurt ricco di proteine con bassissimo contenuto di grassi.	
Filetti di Pangasio	55	0	0,8	12	0	10	0,2	0,1	0	0	0,01	0,03	0,5	0,05	2	0,6	0	0,2	15	0,2	12	0,3	0,02	0,01	15	8	270	50	180	120	Fonte di proteine magre e basso contenuto di grassi.	
Filetti di Platessa	66	0	0,7	15	0	4	0,1	0,05	0	0	0,03	0,1	1,5	0,2	4	1,1	0	0,2	10	0,2	12	0,5	0,02	0,01	10	8	300	60	150	100	Basso contenuto calorico, ricco di proteine magre.	
Merluzzo	78	0,6	1,2	16,1	0	5	0,2	0,1	0	0	0,05	0,1	2,5	0,3	3	1,2	0	0,6	15	0,3	10	0,4	0,02	0,01	20	10	340	60	300	100	Ricco di proteine e acidi grassi omega-3, basso in calorie e grassi.	
Merluzzo Atlantico Surg.	64	1	1,8	11,9	0	5	0,2	0,1	0	0	0,05	0,1	1,5	0,1	3	1	0	0,3	12	0,3	10	0,4	0,02	0,01	20	10	330	55	290	90	Ricco di proteine magre e omega-3, basso contenuto di grassi.	
Albume	47	0	0,1	11	0	0	0	0,01	0	0	0,02	0,3	0,1	0,1	2	0	0	0,3	10	0	10	0,1	0,01	0,01	5	0	163	166	0	0	Proteine pure con pochissimi grassi e calorie.	
Bevanda Proteica	54,7	3	0,3	10	0	0	0	0,1	0	0	0,02	0,15	0,4	0,05	5	0,4	0	0,3	80	0,2	10	0,6	0,01	0,01	6	0	200	100	300	200	Bevanda con alto contenuto proteico, bassa in grassi e carboidrati.	
Fage total 0%	54	3	0	10	35	0	0	0,1	0	0	0,02	0,2	0,5	0,05	7	0,6	0	0,2	120	0,1	8	0,5	0,01	0,01	9	0	150	50	40	100	Alto contenuto proteico e privo di grassi, ottimo per la costruzione muscolare.	
HigPro Yogurt 15 gr prot	57	4,4	0,1	9,4	0	0	0	0,1	0	0	0,02	0,15	0,4	0,05	5	0,4	0	0,3	90	0,2	10	0,5	0,01	0,01	6	0	100	50	20	100	Yogurt con alto contenuto proteico e bassissimo grassi.	
Arachidi Salate	594	8,5	47,9	27,5	0	0	0	4,9	0	0	0,16	0,08	14	0,5	97	0	0	0	64	3,5	178	2,8	1	0	0	0	634	2030	0	0		
Caffe	1	0	0	0,1	0	0	0	0	0	0	0,01	0,02	0	0,01	2	0	0	0,2	2	0	3	0	0,01	0	0	0	92	2	0	0		
